	ratio	nifH type	env type	Organism
SRR10201543	0.0	PB	soil	soil metagenome
SRR10201545	0.0	PB	soil	soil metagenome
SRR10201546	0.0	PB	soil	soil metagenome
SRR10201547	0.0	PB	soil	soil metagenome
SRR10201549	0.0	PB	soil	soil metagenome
SRR10201550	0.0	PB	soil	soil metagenome
SRR10201551	0.0	PB	soil	soil metagenome
SRR10201553	20.779220779220775	PB	soil	soil metagenome
SRR10201554	0.0	PB	soil	soil metagenome
SRR10201555	0.0	PB	soil	soil metagenome
SRR10201556	0.0	PB	soil	soil metagenome
SRR10201557	0.0	PB	soil	soil metagenome
SRR10201558	0.0	PB	soil	soil metagenome
SRR10201561	0.0	PB	soil	soil metagenome
SRR10201562	0.0	PB	soil	soil metagenome
SRR10201565	0.0	PB	soil	soil metagenome
SRR10201568	61.53846153846154	PB	soil	soil metagenome
SRR10201570	0.0	PB	soil	soil metagenome
SRR10201573	0.0	PB	soil	soil metagenome
SRR10201574	0.0	PB	soil	soil metagenome
SRR10201575	0.0	PB	soil	soil metagenome
SRR10201580	0.0	PB	soil	soil metagenome
SRR10201581	0.0	PB	soil	soil metagenome
SRR10201583	0.0	PB	soil	soil metagenome
SRR10201584	0.0	PB	soil	soil metagenome
SRR10201585	0.0	PB	soil	soil metagenome
SRR10201587	27.777777777777775	PB	soil	soil metagenome
SRR10201588	0.0	PB	soil	soil metagenome
SRR10201592	0.0	PB	soil	soil metagenome
SRR10201593	0.0	PB	soil	soil metagenome
SRR10201594	0.0	PB	soil	soil metagenome
SRR10201595	0.0	PB	soil	soil metagenome
SRR10201596	0.0	PB	soil	soil metagenome
SRR10201599	0.0	PB	soil	soil metagenome
SRR10201600	0.0	PB	soil	soil metagenome
SRR10201601	0.0	PB	soil	soil metagenome
SRR10201602	0.0	PB	soil	soil metagenome
SRR10201603	0.0	PB	soil	soil metagenome
SRR10201605	0.0	PB	soil	soil metagenome
SRR10201606	0.0	PB	soil	soil metagenome
SRR10201607	0.0	PB	soil	soil metagenome
SRR10201608	0.0	PB	soil	soil metagenome
SRR10201609	0.0	PB	soil	soil metagenome
SRR10201610	0.0	PB	soil	soil metagenome
SRR10201612	0.0	PB	soil	soil metagenome
SRR12213937	0.0	PB	soil	soil metagenome
SRR12213938	0.0	PB	soil	soil metagenome
SRR10331622	0.0	PB	soil	rhizosphere metagenome
SRR9675237	100.0	PB	marine	marine metagenome
SRR9675238	0.0	PB	marine	marine metagenome
SRR6662722	100.0	PB	soil	soil metagenome
SRR6662723	100.0	PB	soil	soil metagenome
SRR6662724	0.0	PB	soil	soil metagenome
SRR6662725	43.71584699453552	PB	soil	soil metagenome
SRR6662734	100.0	PB	soil	soil metagenome
SRR6662737	100.0	PB	soil	soil metagenome
SRR5407977	46.97469746974698	PB	soil	soil metagenome
SRR5407978	47.56446991404011	PB	soil	soil metagenome
SRR5407979	48.99068322981366	PB	soil	soil metagenome
SRR5407980	45.80378250591016	PB	soil	soil metagenome
SRR5407981	46.50366748166259	PB	soil	soil metagenome
SRR5407982	47.97047970479705	PB	soil	soil metagenome
SRR5407983	63.59163591635917	PB	soil	soil metagenome
SRR5407984	56.60459073191859	PB	soil	soil metagenome
SRR5407985	65.75829383886256	PB	soil	soil metagenome
SRR5407986	61.17342536669541	PB	soil	soil metagenome
SRR5407987	64.5139813581891	PB	soil	soil metagenome
SRR5407988	55.97251585623678	PB	soil	soil metagenome
SRR5407989	40.3402854006586	PB	soil	soil metagenome
SRR5407990	45.240032546786004	PB	soil	soil metagenome
SRR5407991	70.67448680351906	PB	soil	soil metagenome
SRR5407992	52.703900709219866	PB	soil	soil metagenome
SRR5407993	47.36375719982276	PB	soil	soil metagenome
SRR5407994	43.5	PB	soil	soil metagenome
SRR5407996	41.91616766467065	PB	soil	soil metagenome
SRR5407997	44.00817995910021	PB	soil	soil metagenome
SRR5407998	42.773207990599296	PB	soil	soil metagenome
SRR5407999	53.50609756097562	PB	soil	soil metagenome
SRR5408000	48.24561403508772	PB	soil	soil metagenome
SRR5408001	51.57832042882667	PB	soil	soil metagenome
ERR977779	0.0	PB	others	metagenome
ERR977780	0.0	PB	others	metagenome
ERR977782	0.0	PB	others	metagenome
ERR977783	2.4861878453038675	PB	others	metagenome
ERR977784	0.0	PB	others	metagenome
ERR977785	0.0	PB	others	metagenome
ERR977786	0.0	PB	others	metagenome
ERR977787	0.0	PB	others	metagenome
ERR977788	0.0	PB	others	metagenome
ERR977789	0.0	PB	others	metagenome
ERR977790	0.0	PB	others	metagenome
ERR977791	0.0	PB	others	metagenome
SRR8247199	0.0	PB	marine	marine metagenome
SRR8247201	100.0	PB	marine	marine metagenome
SRR8247206	0.0	PB	marine	marine metagenome
SRR8247208	0.0	PB	marine	marine metagenome
SRR8247211	0.0	PB	marine	marine metagenome
SRR9924842	0.0	PB	soil	soil metagenome
SRR9924844	0.0	PB	soil	soil metagenome
SRR9924845	0.0	PB	soil	soil metagenome
SRR9924846	0.0	PB	soil	soil metagenome
SRR9924848	0.0	PB	soil	soil metagenome
SRR9924850	0.0	PB	soil	soil metagenome
SRR8468246	0.0	PB	marine	marine metagenome
SRR8468247	0.0	PB	marine	marine metagenome
SRR8468249	2.0565552699228795	PB	marine	marine metagenome
SRR8468250	0.0	PB	marine	marine metagenome
SRR8468252	0.0	PB	marine	marine metagenome
SRR8468254	98.97510980966325	PB	marine	marine metagenome
SRR8468255	100.0	PB	marine	marine metagenome
SRR8468256	0.0	PB	marine	marine metagenome
SRR8468258	0.0	PB	marine	marine metagenome
SRR8468259	4.385382059800663	PB	marine	marine metagenome
SRR8468260	0.205761316872428	PB	marine	marine metagenome
SRR8468261	0.0	PB	marine	marine metagenome
SRR10321589	0.0	PB	soil	rhizosphere metagenome
SRR10321590	0.0	PB	soil	rhizosphere metagenome
SRR10321591	0.0	PB	soil	rhizosphere metagenome
SRR10321592	0.0	PB	soil	rhizosphere metagenome
SRR10321593	0.0	PB	soil	rhizosphere metagenome
SRR10321594	0.0	PB	soil	rhizosphere metagenome
SRR10321595	18.656716417910452	PB	soil	rhizosphere metagenome
SRR10321596	0.0	PB	soil	rhizosphere metagenome
SRR10321597	18.70967741935484	PB	soil	rhizosphere metagenome
SRR10321598	23.93162393162393	PB	soil	rhizosphere metagenome
SRR10321599	0.0	PB	soil	rhizosphere metagenome
SRR10321600	0.0	PB	soil	rhizosphere metagenome
SRR4022013	60.04415011037527	PB	soil	soil metagenome
SRR4022014	55.206515415939506	PB	soil	soil metagenome
SRR4022015	42.95010845986986	PB	soil	soil metagenome
SRR4022016	59.627727856225945	PB	soil	soil metagenome
SRR4022017	63.37579617834395	PB	soil	soil metagenome
